message,label,transformed_Message
Mad tired today... Callin it in early tonight  nighty night twittas,1,mad tire today callin earli tonight nighti night twitta
"@LevenRambin: Take it easy, and be good to you. ",1,take easi good
I'm afraid I had bad code. ,1,im afraid bad code
Think I'm going to bed. Goodniight. I hate this ,0,think im go bed goodniight hate
"@riancurtis  i'm here, friend, and i love you.",1,im friend love
@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??,1,time didnt notic gone need db
@aaronrva is in the bathroom and i have to pee!    ,1,bathroom pee
@ashleyskyy but I wanted a margarita too! ,1,want margarita
@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!,1,yup night workout r worst unfortunetli work schedul allow go night tough
Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,1,call hillsong said couldnt tell wait list dont know look good
"has 0g of milky bar left, and around 200ml of coke ",1,g milki bar left around ml coke
@jokerrrr It stillllll hasn't arrived ,1,stillllll hasnt arriv
"Mraow, I feel like dancing, but first art school wants to rape me some more. ",1,mraow feel like danc first art school want rape
@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,1,ah bet ive like crave play softbal basketbal noo time
Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,1,terrifi accident delet refer manag assign hope doesnt get troubl get back
amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,1,amazon plugin work websit need php host provid php sad
"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",1,argh suuuper sleepi hour ago im wide awak hope dont stay night
"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",1,wish sold time let know would love hear
Just watched tropic thunder. Dreading tomorrow ,1,watch tropic thunder dread tomorrow
@qweendassah no...he's still miss'n... ,1,he still missn
ChiefDelphi is down ,1,chiefdelphi
"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",1,accord bro new puppi poo fight cover poop pictur stolen
playing game at home! my new boss didn't call me yet... ,1,play game home new bo didnt call yet
Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,1,su yin huen tweet feel unbear guilt made staff cri
Poor Joshy is sick???   those damn tejanos!,0,poor joshi sick damn tejano
My thoughts are with Sandra Cantu's family at this difficult and sad time ,1,thought sandra cantu famili difficult sad time
"@FranzGlaus I know, just wanted to let everybody know what was happening  ",1,know want let everybodi know happen
Michigan who?  I don't know them.                   *sigh*   Shameful!,1,michigan dont know sigh shame
i have to fill two hours ,1,fill two hour
"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday ",1,cuuut hey miss na see girl everyday
@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office ,1,oh mention quot gooooood moooorniiiiii quot germani im back cage better offic
throat is closing up and i had some string cheese. not a good idea ,1,throat close string chees good idea
"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",0,aww sandra cantu found dead suitcas miss child stori never seem go good poor famili
wishing i was home underneath my covers ,1,wish home underneath cover
walking home from school drains all my energy ,1,walk home school drain energi
"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!",1,agre shapeshift copout excit angela ep thought week noah awesom tho
@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,0,dang would done knew earlier outing plan
I wish I was better at writing. It's taking me so long to write this paper. ,1,wish better write take long write paper
..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... ,1,cours access halo mythic map pack redownload bad news legendari map pack ugh m
"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project.",1,yet unfortun anoth week ive told ive littl bit busi latest project
@thecoolestout Ha the sun's already gone ,1,ha sun alreadi gone
day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,1,day lot harder day let see day go tomorrow
My man crush Jake Peavy let me down  #gayforpeavy,1,man crush jake peavi let gayforpeavi
"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail ",0,megafast trip time day tom wed go tonight want see bad tri warn tech fail
michigan state you make me sad ,1,michigan state make sad
omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.,0,omg mouth much pain wanna sleep until time take brace
getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs,1,get annoy easili today gt gt gt biofuel propos get annoy easili today gt gt gt biof
@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. ,1,hey girl site back girlyvu back even video
@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. ,1,im spend time grandma earli tomorrow cant leav skittl
just got home from watching Michigan State get tromped!   ,1,got home watch michigan state get tromp
"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache ",1,oh jewbu two year worth class work alot organ gt lt im finish tonight possibl bone ach
"@griffmiester no exchanging for me, my laptop hasn't arrived ",1,exchang laptop hasnt arriv
@hyperbets i hope this doesn't last too long.  i feel miserable!,1,hope doesnt last long feel miser
@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...,1,rachel hang outag neccessari gonna home wekend dumb folk make work im free f sat
@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down ,1,fun amp furiou new mantra bay breaker get rambuncti citi overreact amp clamp
@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!,1,hubbi reason think import good spot red carpet trek movi premier sod
"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah ",1,swear matter long ive get never get easier man eye hurt wah
@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week ,1,jeffre keep hair one color perman dye fade within week
"@otakusecret my reaction too  whoa, didn't see that coming",1,reaction whoa didnt see come
"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! ",0,still sick feel bit better got new medicin hope feel good night sleep ohh suppos snow wtf
"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry ",1,think mayb get coupl hour sleep hon product right ur dog tire worri
@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. ,1,thank lot learn lot new word didnt find look
Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it ,1,wish xblm download gamertag hitokyri gamertag thing nonsens im tire
New Testament Test at 9:30 am   ,1,new testament test
@ScoutBuck tons no hay Troll? ahhhh ,1,ton hay troll ahhhh
stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! ,1,stupid movi watch mirror ugggggh stooopee rip
"http://twitpic.com/2y2yi - I love you, Buck. ",1,love buck
last one!!! but still not done!!! ,1,last one still done
homework.... ,1,homework
I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby ,1,dont understand thing get taken away didnt enough time unfair want back like babi
Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ,1,scratch du heif two half cooki tum cant take anymor shoog poot
@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,1,listen sweet first time forev miss much go chi town visit plz
"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",1,geez busi afternoon meet email meet email meet pm day still go ah dark
"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",1,dang anoth spring break cool bad work week oh well money phone ttyl everbodi
@Sara_Kate Im afraid too  ( ur reply about uni from ages ago,1,im afraid ur repli uni age ago
feeling down ,1,feel
@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,1,lol emot as men omg late night eat u broke
"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart.",1,aww nick like hair longer cut break heart
 wonder if Jon lost the net,1,wonder jon lost net
Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,1,wow depress thing world lose video youv creat matter second fml
@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock ,1,say stock
@Poohpot lmao im sorry poohpot i ate it all! ,1,lmao im sorri poohpot ate
Any chance  Softbelly (for @MTUB) isn't loud? ,1,chanc softbelli isnt loud
Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but I�m drool for some swimming,1,time move posterior lose fat articul creak run drool swim
listening to nathan cry.... ,1,listen nathan cri
today sucked. I'm gonna die without chris and callum!  wahhh!,1,today suck im gonna die without chri callum wahhh
"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",1,stou site updat info exam open cours must wait mail notic doc um
@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,1,sorri im feel kinda yucki go come quick
is in love with scrappy and is missin him already ,1,love scrappi missin alreadi
wants to hear @seblefebvre 's song but myspace is messing with me ,1,want hear song myspac mess
Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,1,bad news dad cancer die good news new busi start life coach practis holist weight manag
@duchess_rebecca Man... intervention is soo sad ,1,man intervent soo sad
HELP! I need a new boyfriend... I'm stuck in a rut ,0,help need new boyfriend im stuck rut
I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me ,1,feel like complet idiot im one doesnt get shit work help
Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ,1,saw ad craigslist cast call femal host g total psych realiz hoax
Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,1,pepperoni roll l call valentino said sausag roll pepperoni roll
"@soillodge yes, it will be. it's only Monday ",1,ye monday
i want the new GG episode already ,1,want new gg episod alreadi
I miss watching Rocko's Modern Life. ,1,miss watch rocko modern life
RIP Sandra....its so sad    how can someone do something like that??,1,rip sandra sad someon someth like
Keeping my fingers crossed for my buddy    He is not feeling well.,1,keep finger cross buddi feel well
Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,1,wait eat skinni vega im hungri
"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... ",0,tri tweetdeck hate passion hate im sure
"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin ",1,btw iphon act funni die quickli freez b im admit anyth sayin
Sitting here wondering why &quot;ED&quot; still has such a strong hold on me ,1,sit wonder quot ed quot still strong hold
@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!,0,im sorri got sick lol go bed night
"@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! ",1,internet home drive ox use internet builder
@Steve_Buscemi the weather in Canada is freezing ,1,weather canada freez
twiggassssssss I been out of range all day  I'm back now and hopefully for good.,1,twiggassssssss rang day im back hope good
anyone who reads this pray for my Grandma. She's in pain ,0,anyon read pray grandma she pain
"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  ",1,woke accid quot push push quot cri couldnt stop wet pant
"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe.",0,home franklin street almost jump fire someon kick could jenni lost shoe
@johnnybeane hey! you just changed your default. ,1,hey chang default
Finally gave in and was bored enough to start this thing. I think the 140 is going to be a problem for me tho.  its like a myspace status.,0,final gave bore enough start thing think go problem tho like myspac statu
"@ellievolia If oooonly we were really so lucky, eh? And awh  Definitely too early for work.",1,oooonli realli lucki eh awh definit earli work
buttload of homework! ,1,buttload homework
needs another copy of visual studio 2008 ,1,need anoth copi visual studio
"why to we, the only school in the world, be in this week.My school is silly  anyway... look on the bright side. When i'm off, u will be in",1,school world week school silli anyway look bright side im u
omg i've an economics test. and i dont know all the things i have to know and omg im gonna fail ,0,omg ive econom test dont know thing know omg im gonna fail
"@robcthegeek Once upon a time Hundred Islands was the pride of Philippine tourism, but coral/clam/rare fish poaching did it in. Kinda sad ",1,upon time hundr island pride philippin tourism coral clam rare fish poach kinda sad
"@Henkuyinepu yeah, apparently i have really bad taste ",1,yeah appar realli bad tast
@hummiemd I KNOW! I was really surprised since everyone recommends them on youtube.  I have to call them tomorrow and figure it all out.,1,know realli surpris sinc everyon recommend youtub call tomorrow figur
Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..,0,wait airport ride get harass men tri sell ugli hat want sleep
i left my IDs at the location and now i can not go out to bars  FUCKKKKKKKKKKKKK,1,left id locat go bar fuckkkkkkkkkkkkk
@celycarmo i'm sorry I don't understand your last comment ,1,im sorri dont understand last comment
@OfficialRandL when is the announcement? i stayed up late last night ,1,announc stay late last night
"@KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???",0,strang illeg torrent avlbl everywher legal dvd stock
ITS NOT ENOUGH TO SAY THAT IMISS U ,1,enough say imiss u
This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS ,1,trolley pack like sardin padr game remov car good call mt
"@RandomlyNat Jeez, I was just trying to help  Haha.",1,jeez tri help haha
@SupaMagg that happened to me saturday night. along with my glittery green lighter! ,1,happen saturday night along glitteri green lighter
trying to reduce the number of cigarettes in each day! ,1,tri reduc number cigarett day
yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to ,0,yea quiet around cuz everyon work im bore death nobodi talk
gotta do my cooking assignment  its too hard,1,gotta cook assign hard
"@treesahquiche okay, about the applepears, I've talked to a few people and they've ALL had them before. No one ever told me, never ",1,okay applepear ive talk peopl theyv one ever told never
"@jennifermf I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here",1,know im night owl natur hahaha time zone behind almost
@mamasvan lol - nope! but i did have complete #camerafail ,0,lol nope complet camerafail
@maxime68 @megelder But! I'm useless if I don't sleep  It's not fair! I want all the fun as well!!!,1,im useless dont sleep fair want fun well
My Pookie has a UTI.  I have to be Nurse Gabbie and get him back to 100%!!! No more sodas!!!!!!!!!!!!!!,1,pooki uti nurs gabbi get back soda
@jillianfish tweet something damn it!  and hang out with me please? ,1,tweet someth damn hang pleas
"I'm SO behind in video games, and everything for that matter. I'm yesterday's news ",1,im behind video game everyth matter im yesterday news
"@sleep_til_noon I did, it was the only one left but I got tempted and ate it soon as I got home  I had a chocolate velvet &amp; ate d mocha",1,one left got tempt ate soon got home chocol velvet amp ate mocha
Is stressing out because my blackberry keeps flashing a red alert status for no reason!! Its faking me out and I hate it!!! ,0,stress blackberri keep flash red alert statu reason fake hate
http://twitpic.com/2y34e - I wanna wear my Doc Martens out! Haven't worn them since December. ,1,wanna wear doc marten havent worn sinc decemb
When to the shoe repair shop and the guy could not find my shoes!  So I have to go back and see if he can find them in a couple days. ,1,shoe repair shop guy could find shoe go back see find coupl day
@B_Barnett I did not really see that coming ,1,realli see come
"just woke up from the most vivid, sketchy, not-cool dreams of my life. time to stare at the wall with the lights on. ",1,woke vivid sketchi notcool dream life time stare wall light
it'll take 3 days for my sister to get her passport ,1,itll take day sister get passport
@nicolerichie OH MY YES!! i miss ,1,oh ye miss
Uh oh... I think I am getting sick ,0,uh oh think get sick
Good GOD they ruined my belly button!!!  ,1,good god ruin belli button
Watching Who Framed Roger Rabbit. Makes me miss Toon Town. ,1,watch frame roger rabbit make miss toon town
"@akianz renting.. but very cheap renting, and awesome house. We had 3 buying attempts fall through ",1,rent cheap rent awesom hous buy attempt fall
running nose + spinning head = not a good combination for a meeting! ,1,run nose spin head good combin meet
@EazyDoesIt87 NEGATIVE.. you lost my vote of confidence ,1,neg lost vote confid
Nasty budget due and my iphone is being sent to Apple today. ,1,nasti budget due iphon sent appl today
@Sofii_Noel that�s bad ,1,bad
"Dammit, episode 3 of Kings won't play for some reason  stopped in the middle now won't do anything",1,dammit episod king wont play reason stop middl wont anyth
I'm so upset that I missed my chat and quiz online because my free internet has ceased ,1,im upset miss chat quiz onlin free internet ceas
can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!! ,1,cant believ im disbelief way realli much take peopl alway get hurt other
Car show season has started without me ,1,car show season start without
my throat is raw. ,1,throat raw
@KevChoice I just don't get it. What in a persons mind could even have them on some ish like this???  My prayers are with her fam for real,1,dont get person mind could even ish like prayer fam real
@frago I hate you. I didn't need to see that. I need to call my therapist now. ,0,hate didnt need see need call therapist
Twilight didn't come yesterday  fingers crossed for today,1,twilight didnt come yesterday finger cross today
@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!,0,glad abl help feel better hate see sick love
is tireddddddd. want to sleep but i have an assignment to finish and an exam tomorrow to study for ,1,tireddddddd want sleep assign finish exam tomorrow studi
"You know, I was thinking... I need money ",1,know think need money
omg..its jst teusday ,1,omg jst teusday
@ddlovato @David_Henrie ummmmm i cant find it. ,1,ummmmm cant find
Just heard that they found Sandra Cantu... She was only 8 yrs old ,1,heard found sandra cantu yr old
@corrosivecandy Ive forgotten how to snoo-snoo  I wonder if snoo-snoo and I will ever meet again...,1,ive forgotten snoosnoo wonder snoosnoo ever meet
@AmaNorris wow that last tweet made me seem like a giant sexist...sorry about that ,1,wow last tweet made seem like giant sexist sorri
"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! ",0,bathtub drain fire haz job amp iz fail got drano as amp iz still drain wanna shower dangit
stuck at home ,0,stuck home
@nomadicmatt mine is 1/10  how do you get it up?,1,mine get
Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! ,1,duckl famou children book stolen boston public garden boston globe via oh
"@Appomattox_News Thank you! However, I hate to be on the same list that includes 2 convicts.  ",0,thank howev hate list includ convict
"Heading to Altrincham, again! Out of hours install ",1,head altrincham hour instal
MORNING!!! Good im bloody knackered!!! Work is not for me today  HELPPP!!!! xxx,1,morn good im bloodi knacker work today helppp xxx
@jeffreecuntstar  I don't have a garage.  But you can park in my driveway!,1,dont garag park driveway
@lauredhel  What happened?,1,happen
"&quot;On popular music&quot; by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue ",1,quot popular music quot w adorno probabl difficult read ever prescrib im actual struggl continu
"http://twitpic.com/2y36e - cant see the flowers falling  i dont have a camera, just my cellphone",1,cant see flower fall dont camera cellphon
"We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?",1,weve good im like snow right get use nice springlik weather
@brian_armstrong What a pity YouTube is currently blocked in China.  I can't see the vids. ,1,piti youtub current block china cant see vid
@margaretcho what happened to your show it was the hightlight of my life ,1,happen show hightlight life
This is the best leather sofa in the world!  It's in the office though which means I'm still here working ,1,best leather sofa world offic though mean im still work
Still 3 more days until my Internet gets uncapped ,1,still day internet get uncap
"If he doesn't get better in a few days, he could have something lodged in his belly ",1,doesnt get better day could someth lodg belli
i Love my atekinzz so much. &amp;&amp; i soo miss her.. ,1,love atekinzz much amp amp soo miss
I wanna sneak into the zoo and play with the kitties ,1,wanna sneak zoo play kitti
@lolitariot oh no  hope you're not getting sick too!,0,oh hope your get sick
@alejandralei i dont think i can cause its my cousins birthday party ,1,dont think caus cousin birthday parti
"Our sweet little man just fell asleep while waiting up for daddy and big brother to get home!  Poor baby, he missed them so much today!",1,sweet littl man fell asleep wait daddi big brother get home poor babi miss much today
the angel is going to miss the athlete this weekend ,1,angel go miss athlet weekend
trust is hard ,1,trust hard
have watched that considering today. yaknow. shawnna tomomorrow;i need my bestfriend ,1,watch consid today yaknow shawnna tomomorrow need bestfriend
Grr i want to keep reading but if i do i wont have anything left to read ,1,grr want keep read wont anyth left read
"atekinzz, where in the world are you?? ",1,atekinzz world
@RumLover No! u supposed to be my date ,1,u suppos date
"pears &amp; Brie, bottle of Cabernet, and &quot;Win a Date With Tad Hamilton&quot;... oh gawwd my life flashed forward to when I'm 40 with my 75 cats ",1,pear amp brie bottl cabernet quot win date tad hamilton quot oh gawwd life flash forward im cat
Crap. I need more dresses too. ,1,crap need dress
@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. ,1,yeah know horribl ugh sadden
@Brodhe geez ur no fun are you ,1,geez ur fun
I wanna be in a punk rock band again ,1,wanna punk rock band
@jyesmith That's a lot of angst for a Tuesday afternoon ,1,that lot angst tuesday afternoon
I'm very glad Britney isn't crazy anymore! That was one hell of a show! Now I'm sad that it's over.  Next up...AP at Cook County!,0,im glad britney isnt crazi anymor one hell show im sad next ap cook counti
has a huuuge headache! omg I feel like crap! ,1,huuug headach omg feel like crap
@Anistorm Sorry ,1,sorri
@cleders sorry...i was rooting for them too... ,1,sorri root
"Man, that took forever. ",1,man took forev
@shandasaurus  I see.,1,see
I am listing more items on ebay to sell!  Takes forever..meanwhile Coleman is watching The Hills season premier without me.. ,1,list item ebay sell take forev meanwhil coleman watch hill season premier without
"Just got my presentation done, 23 slides done...  I'm crying for this week will be the hardest of all weeks.",1,got present done slide done im cri week hardest week
Just lost $160 ,1,lost
I don't like the previously on skins thing that starts at season two. I like it when it went straight into the intro like before ,1,dont like previous skin thing start season two like went straight intro like
@Houndour ...i wish i was there...i'm pretty good at scaring the shit out of people ,1,wish im pretti good scare shit peopl
Going to sound vain... but running out of my fav lip gloss ,1,go sound vain run fav lip gloss
"@stuiy never again will I click on a link that screams, &quot;I'm a spider, I'm a spider&quot;. I should have known better. yucky ",1,never click link scream quot im spider im spider quot known better yucki
Why is that when you have time off from work you get sick? ,0,time work get sick
@pratama Same iMac came out $320 more in Indonesia than the States. ,1,imac came indonesia state
Dammit... I need to stop buying furniture ,1,dammit need stop buy furnitur
@Miss_Sil no i was half asleep and turned off the laptop after that ,1,half asleep turn laptop
"Death is peaceful,  life however, bites ",0,death peac life howev bite
 i think @JonathanRKnight lost the net ? sure hope not,1,think lost net sure hope
"http://is.gd/r8Zf,  http://is.gd/r8Zy, and  http://is.gd/r8ZG - test footage with my girlfriend (in HD) The dark one is underxposed ",1,test footag girlfriend hd dark one underxpos
Such a tough game to watch tonight for State  Finally going to bed after also staying up to watch the season premiere of the Hills!,1,tough game watch tonight state final go bed also stay watch season premier hill
Seems jRuby support for hpricot is now two versions behind ,1,seem jrubi support hpricot two version behind
@JinxCat Unlike my sister...I still don't have one ,1,unlik sister still dont one
Fraking app store is pissing me off   http://tinyurl.com/c4ooho,1,frake app store piss
Logging out. I need to study.... ,1,log need studi
anyone else having problems accessing TTB??? I cant get on!!! ,0,anyon els problem access ttb cant get
I strongly dislike people who make stupid comments and dont know the whole story ,1,strongli dislik peopl make stupid comment dont know whole stori
"@emmaketurah  i'm sorry Emma, is swarley a goldfish? i'm sad for u.",1,im sorri emma swarley goldfish im sad u
"All my tweets are already gone, aren't they  Missed you guys tonight.",1,tweet alreadi gone arent miss guy tonight
Can't sleep again. Face is kinda swollen. Don't let me be allergic to the thing that'll get me to Thursday. School tomorrow? Doubtful. ,1,cant sleep face kinda swollen dont let allerg thing thatll get thursday school tomorrow doubt
"@Snick_the_Dog If Izzy's on the cat tree, she'll stare him down, but if she's on the floor, he chases and she runs. ",1,izzi cat tree shell stare she floor chase run
I am officially banning godaddy.com from my comp. My head hurts from the small print AND I wasted $10 that could've happily gone to Boba ,1,offici ban godaddi com comp head hurt small print wast couldv happili gone boba
@HumanOpium pretty much just scary for me ,1,pretti much scari
@ilovepie mines too... I'm finding it well hard to get fit... ,1,mine im find well hard get fit
"Good morning! Ready 2 go, but I want 2 go back 2 bed ",1,good morn readi go want go back bed
hates waiting for mails ,0,hate wait mail
wheat bread from the dollar store just doesn't toast nicely  going over my taxes and calling it an early night,1,wheat bread dollar store doesnt toast nice go tax call earli night
"Why Kutner? I mean I knew something was going to happen to someone but it was so sad. I &lt;3 House and it was well done, but I'm still sad ",1,kutner mean knew someth go happen someon sad lt hous well done im still sad
@JonathanRKnight aw ok goonite....  ,1,aw ok goonit
ill so i cant go to the cinema!! ,1,ill cant go cinema
Fell asleep . . . Really didn't mean too  *christina*,1,fell asleep realli didnt mean christina
"@KelleyRowe hey, you remember that time we used to be friends?? ;)  ugh. vomit. sick.  i need sleep ",0,hey rememb time use friend ugh vomit sick need sleep
my lymph nodes are as massive as rahm emanuel's balls right now ,1,lymph node massiv rahm emanuel ball right
Oh no my computer sucks. I don't think i'll be able to listen to the Xbox 360 Fancast tonite ,1,oh comput suck dont think ill abl listen xbox fancast tonit
is missing playing my trumpet ,1,miss play trumpet
My throat is still really sore. I was meant to be going on a 5 day camp from Friday but not so sure now ,1,throat still realli sore meant go day camp friday sure
@sasii I know exactly how you feel! ,1,know exactli feel
At work ,1,work
Well bed time now. 1 am. *sighs* Back to 6 am mornings for a week on Wednesday. ,1,well bed time sigh back morn week wednesday
@hert Jesus Camp? Yeah... ,1,jesu camp yeah
"@MaryBethune oh no! with everything that happened today, i forgot we were going dress shopping for the opera tomorrow. ",1,oh everyth happen today forgot go dress shop opera tomorrow
Turtles are better than my Mac - lasts longer and moves faster ,1,turtl better mac last longer move faster
I am soaked. This is not pleasant ,1,soak pleasant
@ginayates Sorry to hear about Maggie.    Thoughts to your mum.,1,sorri hear maggi thought mum
"@ewarden, you may have to email this one to me  I hope you feel better.",1,may email one hope feel better
@miamiiboii dead @ yu gettin on wen im leavin ,0,dead yu gettin wen im leavin
@arlenecd PLEASE TELL ME THAT'S SOMEWHERE CLOSE TO CALIFORNIA!!! LOL! ,1,pleas tell that somewher close california lol
stupid arranged marriages... i'll convert so you can marry me...love you! ,1,stupid arrang marriag ill convert marri love
"@emilyruppe Well he said that he is a looser, and that is what the show implies ",1,well said looser show impli
Poor Sandra Cantu &amp; the Cantu family! My prayers go out to them! What a sick world we live in. She was only 8 ,0,poor sandra cantu amp cantu famili prayer go sick world live
fuck omg  austins always there though man &lt;3 love you,1,fuck omg austin alway though man lt love
@nicolerichie I cried so hard when Matthew died ,1,cri hard matthew die
sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off ,1,sad foot macbook fell sad foot macbook fell
@chordsy - why am I the last to find out about these things? Like that you're on the twitter too. ,1,last find thing like your twitter
@lovebscott absolutely not!! ,1,absolut
http://twitpic.com/2y3cf - Filled with curry  the true indian in me is coming out,1,fill curri true indian come
im soooo cold right now ,1,im soooo cold right
@heidimontag lol I kant believe cam got beat upp sooo embarasssiiiin ,1,lol kant believ cam got beat upp sooo embarasssiiiin
@JonathanRKnight Good Knight hun! Looking forward to ur tweets again! Hate that i keep missing out on the fun cuz of the time difference ,0,good knight hun look forward ur tweet hate keep miss fun cuz time differ
Tumblr: This is exactly how it feels wearing a �tie�  http://tinyurl.com/c8bvqh,1,tumblr exactli feel wear tie
@daniela_95616 hahaa!! i just realized &quot;impune&quot; definitely isnt the word i wanted... dang. i'm so unclever. ,1,hahaa realiz quot impun quot definit isnt word want dang im unclev
watching old videos of dance team and such... makes me miss it  ,1,watch old video danc team make miss
Wahh  no CSI anywhere! DVR'ed I Love Money 2 though - gonna watch it then sleep - Goodnight Tweeters&lt;3,1,wahh csi anywher dvred love money though gonna watch sleep goodnight tweeter lt
Struggling hard with Inventory ,1,struggl hard inventori
@ddlovato Do you hate us?? Please don't ,0,hate u pleas dont
@ballinbitch haha im not THAT ballin. I still got bills to paaaaay ,1,haha im ballin still got bill paaaaay
